sample	file
SPECS_5820	/SPECS_5820.capture_S318.hg38.cram
EX00540	/EX00540.capture_S318.hg38.cram
EX00541	/EX00541.capture_S318.hg38.cram
EX00542	/EX00542.capture_S318.hg38.cram
EX00543	/EX00543.capture_S318.hg38.cram
EX00545	/EX00545.capture_S318.hg38.cram
EX00546	/EX00546.capture_S318.hg38.cram
EX00547	/EX00547.capture_S318.hg38.cram
EX00548	/EX00548.capture_S318.hg38.cram
EX00549	/EX00549.capture_S318.hg38.cram
EX00550	/EX00550.capture_S318.hg38.cram
EX00551	/EX00551.capture_S318.hg38.cram
EX00552	/EX00552.capture_S318.hg38.cram
EX00553	/EX00553.capture_S318.hg38.cram
